document_id,source_type,institution,author,year,title,priority,download_status,quality_assessment,extraction_status,notes
"melville_2020_apl_dielectric_loss_tin_al","journal_article","MIT Lincoln Laboratory","Melville, Alexander","2020","Comparison of Dielectric Loss in Titanium Nitride and Aluminum Superconducting Resonators","high","succeeded","high_value","not_started","Wave 2 recent fabrication paper"
"murray_2021_mser_material_matters_sc_qubits","review_paper","IBM T.J. Watson Research Center","Murray, Conal E.","2021","Material matters in superconducting qubits","high","succeeded","high_value","not_started","Wave 2 recent fabrication paper"
"neill_charles_ucsb_2017","phd_thesis","UC Santa Barbara","Neill, Charles","2017","A path towards quantum supremacy with superconducting qubits","high","succeeded","high_value","not_started","Thesis collection wave 1"
"nguyen_2019_prx_high_coherence_fluxonium","journal_article","","Nguyen, Long B.","2019","The high-coherence fluxonium qubit","high","succeeded","high_value","not_started","Wave 1 paper collection"
"norris_graham_eth_2024","phd_thesis","ETH Zurich","Norris, Graham J.","2024","Three-Dimensional Integration of Superconducting Qubits","high","succeeded","high_value","not_started","Thesis collection wave 1"
"omalley_peter_ucsb_2016","phd_thesis","UC Santa Barbara","O'Malley, Peter","2016","Superconducting Qubits: Dephasing and Quantum Chemistry","high","succeeded","high_value","not_started","Thesis collection wave 1"
"osman_2021_apl_simplified_jj_fabrication","journal_article","","Osman, Amr","2021","Simplified Josephson-junction fabrication process for reproducibly high-performance superconducting qubits","high","succeeded","high_value","not_started","Wave 2 seminal paper collection"
"paik_2011_how_coherent_josephson_junctions","journal_article","","Paik, Hanhee","2011","How coherent are Josephson junctions?","low","skipped","low_value","not_started","duplicate_of=paik_2011_prl_3d_transmon; same arXiv id base (1105.4652), variant naming; superseded alias id"
"paik_2011_prl_3d_transmon","journal_article","","Paik, Hanhee","2011","Observation of High Coherence in Josephson Junction Qubits Measured in a Three-Dimensional Circuit QED Architecture","high","succeeded","high_value","not_started","Wave 2 seminal paper collection"
"place_2021_ncomms_tantalum_qubits","journal_article","","Place, Alexander P. M.","2021","New material platform for superconducting transmon qubits with coherence times exceeding 0.3 milliseconds","high","succeeded","high_value","not_started","Wave 2 seminal paper collection"
"raab_reilly_ucsb_2015","phd_thesis","UC Santa Barbara","Raab, Reilly","2015","Single-Gate Error for Superconducting Qubits","high","succeeded","high_value","not_started","Thesis collection wave 1"
"ramasesh_vinay_berkeley_2019","phd_thesis","UC Berkeley","Ramasesh, Vinay Venkatesh","2019","Quantum Simulation with Superconducting Circuits","high","succeeded","high_value","not_started","Thesis collection wave 1"
"rosenberg_2019_arxiv_3d_integration_packaging","journal_article","MIT Lincoln Laboratory","Rosenberg, D.","2019","3D integration and packaging for solid-state qubits","high","succeeded","high_value","not_started","Wave 2 recent fabrication paper"
"sank_daniel_ucsb_2014","phd_thesis","UC Santa Barbara","Sank, Daniel","2014","Fast, Accurate State Measurement in Superconducting Qubits","high","succeeded","high_value","not_started","Thesis collection wave 1"
"slichter_daniel_berkeley_2011","phd_thesis","UC Berkeley","Slichter, Daniel Huber","2011","Quantum Jumps and Measurement Backaction in a Superconducting Qubit","high","succeeded","high_value","not_started","Thesis collection wave 1"
"smirnov_2023_arxiv_wiring_surface_loss_transmon","journal_article","MISIS University","Smirnov, Nikita S.","2023","Wiring surface loss of a superconducting transmon qubit","high","succeeded","high_value","not_started","Wave 2 recent fabrication paper"
"somoroff_2023_prl_millisecond_fluxonium","journal_article","","Somoroff, Aaron","2023","Millisecond Coherence in a Superconducting Qubit","high","succeeded","high_value","not_started","Wave 2 seminal paper collection"
"steffen_2015_building_logical_qubits_system","journal_article","","Gambetta, Jay M.","2015","Building logical qubits in a superconducting quantum computing system","medium","succeeded","medium_value","not_started","Wave 2 paper collection by collector_papers_05"
"sung_youngkyu_mit_2020","phd_thesis","MIT","Sung, Youngkyu","2020","Non-Gaussian Noise Spectroscopy with Superconducting Qubits","high","succeeded","high_value","not_started","Thesis collection wave 1"
"wang_2022_npjqi_transmon_05ms","journal_article","","Wang, Chenlu","2022","Towards practical quantum computers: transmon qubit with a lifetime approaching 0.5 milliseconds","high","succeeded","high_value","not_started","Wave 2 seminal paper collection"
"wang_2024_prapplied_overlap_jj_fluxonium","journal_article","Alibaba Quantum Laboratory","Wang, Fei","2024","High coherence fluxonium manufactured with a wafer-scale uniformity process","high","succeeded","high_value","not_started","Wave 2 recent fabrication paper"
"weber_steven_berkeley_2014","phd_thesis","UC Berkeley","Weber, Steven Joseph","2014","Quantum Trajectories of a Superconducting Qubit","high","succeeded","high_value","not_started","Thesis collection wave 1"
"white_theodore_ucsb_2015","phd_thesis","UC Santa Barbara","White, Theodore","2015","Preserving entanglement during weak measurement demonstrated with a violation of the Bell-Leggett-Garg inequality","high","succeeded","high_value","not_started","Thesis collection wave 1"
