article_number,sequence,title,url,doi,start_page,end_page,authors,author_urls
11409261,2.5,"2.5 A 1.1mm2, 14.4ns, 13.1pJ/b Forward Error Correction with Ordered-Statistics Post Processing for Ultra-Reliable and Low-Latency Communications",https://ieeexplore.ieee.org/document/11409261/,10.1109/ISSCC49663.2026.11409261,50,52,Cheng-Hsun Lu; Wei Tang; Jaehee Kim; Youngjoo Lee; Zhengya Zhang,https://ieeexplore.ieee.org/author/37089925333; https://ieeexplore.ieee.org/author/869626878063816; https://ieeexplore.ieee.org/author/37088896739; https://ieeexplore.ieee.org/author/37087334949; https://ieeexplore.ieee.org/author/37088373360
11409090,,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,https://ieeexplore.ieee.org/document/11409090/,10.1109/ISSCC49663.2026.11409090,52,54,Matthew Cohen; Monodeep Kar; Swagath Venkataramani; Viji Srinivasan; Brian Veraa; Matthew Ziegler; Nianzheng Cao; Ashish Ranjan; Joel Silberman; Michael Guillorn; Sandra Woodward; JohnDavid Lancaster; Josh Hursey; Kyu-Hyoun Kim; Alberto Mannari; Amrit Nagarajan; Ananda Samajdar; Bahman Hekmatshoartabari; Bob Galbraith; Ching Zhou; Dave Satterfield; Greg Still; Gustavo Tellez; Indira Nair; Indu Masilamanai; Jinwook Jung; Kavi Randhawa; Marcel Schaal; Martin Lutz; Paul Crumley; Philip Jacob; Prasanth Chatarasi; Radhika Jain; Saekyu Lee; Sanchari Sen; Sarada Krithivasan; Scot Rider; Shubham Jain; Siyu Koswatta; Thomas Roewer; Tom Gooding; Victor Ferrari; Vidhi Zalani; Zhibin Ren; Kevin Reick; Lisa Maurice; Chris Gonzalez; Chris Catalino; Ryan Nett; Pong-Fei Lu; Rob Senger; Leland Chang,https://ieeexplore.ieee.org/author/37088489184; https://ieeexplore.ieee.org/author/37090058333; https://ieeexplore.ieee.org/author/38466410600; https://ieeexplore.ieee.org/author/37086012971; https://ieeexplore.ieee.org/author/971564039504314; https://ieeexplore.ieee.org/author/37088711992; https://ieeexplore.ieee.org/author/37086489465; https://ieeexplore.ieee.org/author/37089561265; https://ieeexplore.ieee.org/author/818047014874086; https://ieeexplore.ieee.org/author/920000071961090; https://ieeexplore.ieee.org/author/37409864900; https://ieeexplore.ieee.org/author/904810098171563; https://ieeexplore.ieee.org/author/981554160744903; https://ieeexplore.ieee.org/author/37367181100; https://ieeexplore.ieee.org/author/37088927014; https://ieeexplore.ieee.org/author/37089551591; https://ieeexplore.ieee.org/author/37086386536; https://ieeexplore.ieee.org/author/37089924841; https://ieeexplore.ieee.org/author/384460020809030; https://ieeexplore.ieee.org/author/37085812139; https://ieeexplore.ieee.org/author/967630889447435; https://ieeexplore.ieee.org/author/211969932644618; https://ieeexplore.ieee.org/author/106065763934444; https://ieeexplore.ieee.org/author/538902984878107; https://ieeexplore.ieee.org/author/405170963544623; https://ieeexplore.ieee.org/author/37086013944; https://ieeexplore.ieee.org/author/630356586787961; https://ieeexplore.ieee.org/author/37540741300; https://ieeexplore.ieee.org/author/37088485089; https://ieeexplore.ieee.org/author/534960943921064; https://ieeexplore.ieee.org/author/37088523472; https://ieeexplore.ieee.org/author/37085703791; https://ieeexplore.ieee.org/author/37088804264; https://ieeexplore.ieee.org/author/504681610761131; https://ieeexplore.ieee.org/author/37086009369; https://ieeexplore.ieee.org/author/37085516253; https://ieeexplore.ieee.org/author/37088243513; https://ieeexplore.ieee.org/author/37089860046; https://ieeexplore.ieee.org/author/37088487210; https://ieeexplore.ieee.org/author/37086568861; https://ieeexplore.ieee.org/author/37088732730; https://ieeexplore.ieee.org/author/37085544480; https://ieeexplore.ieee.org/author/37086531378; https://ieeexplore.ieee.org/author/37086507889; https://ieeexplore.ieee.org/author/956740867832219; https://ieeexplore.ieee.org/author/665139089866208; https://ieeexplore.ieee.org/author/161094881206044; https://ieeexplore.ieee.org/author/199943559078714; https://ieeexplore.ieee.org/author/37085426527; https://ieeexplore.ieee.org/author/37086969205; https://ieeexplore.ieee.org/author/928661895156764; https://ieeexplore.ieee.org/author/37086731352
11409204,,Tiamat: A 98-to-134ms/Step Transformer-Based Diffusion Model Processor Supporting Classifier-Free Guidance for Image Generation,https://ieeexplore.ieee.org/document/11409204/,10.1109/ISSCC49663.2026.11409204,54,56,Po-Yen Lu; Po-Wei Chen; Shau-Hua Yeh; Zhi-Jun Zhang; Yong-Tai Chen; Ting-Yu Wang; Chao-Tsung Huang,https://ieeexplore.ieee.org/author/37088883577; https://ieeexplore.ieee.org/author/37090055090; https://ieeexplore.ieee.org/author/135694586687010; https://ieeexplore.ieee.org/author/726974434846717; https://ieeexplore.ieee.org/author/37089514593; https://ieeexplore.ieee.org/author/167132071204768; https://ieeexplore.ieee.org/author/37085509027
11409294,,"MADiC: A 3nm 7.4TOPS/mm2, 17.4TOPS/W Generative Diffusion Accelerator Enabled by Hardware-Compiler Co-Optimization of Memory Hierarchy and Operator Parallelism",https://ieeexplore.ieee.org/document/11409294/,10.1109/ISSCC49663.2026.11409294,1,3,Shih-Wei Hsieh; Yi-Syuan Chen; Ping-Yuan Tsai; Ming-Hung Lin; Chia-Yuan Cheng; Lien-Feng Hsu; Po-Hao Huang; Hung-Wei Chih; Po-Han Chiang; Chia-Ming Chang; Ming-Hsuan Chiang; Chia-Hung Yuan; Sheng-Po Kuo; Viswanath Uggu; Chun-Kun Chan; Ming-En David Shih; Yu-Cheng Tseng; Hsin-Ping Cheng; Stan Huang; Chia-Ping Chen; ShenKai Chang; Chih-Ming Wang; Po-Yu Yeh; Jett Liu; Yung-Chang Chang; Chi-Cheng Ju; Yucheun Kevin Jou,https://ieeexplore.ieee.org/author/899286414815293; https://ieeexplore.ieee.org/author/336992605772958; https://ieeexplore.ieee.org/author/37530250600; https://ieeexplore.ieee.org/author/525957517054275; https://ieeexplore.ieee.org/author/37087103898; https://ieeexplore.ieee.org/author/37089716269; https://ieeexplore.ieee.org/author/330663106429452; https://ieeexplore.ieee.org/author/37087486191; https://ieeexplore.ieee.org/author/37088252520; https://ieeexplore.ieee.org/author/298778173932840; https://ieeexplore.ieee.org/author/37086133152; https://ieeexplore.ieee.org/author/322432651133290; https://ieeexplore.ieee.org/author/37087695046; https://ieeexplore.ieee.org/author/349500775595412; https://ieeexplore.ieee.org/author/276799916878390; https://ieeexplore.ieee.org/author/559044499451368; https://ieeexplore.ieee.org/author/37086993877; https://ieeexplore.ieee.org/author/777187806781227; https://ieeexplore.ieee.org/author/870384337161118; https://ieeexplore.ieee.org/author/37089318079; https://ieeexplore.ieee.org/author/843522834340674; https://ieeexplore.ieee.org/author/37656289600; https://ieeexplore.ieee.org/author/37531864500; https://ieeexplore.ieee.org/author/914130974118610; https://ieeexplore.ieee.org/author/38184180300; https://ieeexplore.ieee.org/author/37612608500; https://ieeexplore.ieee.org/author/432989318689674
11409230,2.9,2.9 A 0.24mJ/Frame Quadratic Interpolation 4DGS Processor with Recursive Computation Reuse and Tree-Based Parallel-Rendering,https://ieeexplore.ieee.org/document/11409230/,10.1109/ISSCC49663.2026.11409230,58,60,Xiaolong Yang; Yang Wang; Wende Xu; Yubin Qin; Huanyu Wang; Ruiqi Guo; Zhiheng Yue; Jiangyuan Gu; Shaojun Wei; Yang Hu; Shouyi Yin,https://ieeexplore.ieee.org/author/37089923117; https://ieeexplore.ieee.org/author/37089776216; https://ieeexplore.ieee.org/author/37090065953; https://ieeexplore.ieee.org/author/37088893106; https://ieeexplore.ieee.org/author/37089017329; https://ieeexplore.ieee.org/author/37086919638; https://ieeexplore.ieee.org/author/37088802968; https://ieeexplore.ieee.org/author/37087647381; https://ieeexplore.ieee.org/author/37404117300; https://ieeexplore.ieee.org/author/37089851308; https://ieeexplore.ieee.org/author/37852878800
11409198,2.10,2.10 A 1286fps 0.39mJ/Frame Modeling/Rendering Unified 3D GS Processor with Locality-Optimized Computation and Reconfigurable Architecture,https://ieeexplore.ieee.org/document/11409198/,10.1109/ISSCC49663.2026.11409198,60,62,Hedi Wang; Xiaoyu Feng; Weichen Gao; Huazhong Yang; Yongpan Liu,https://ieeexplore.ieee.org/author/998284151453890; https://ieeexplore.ieee.org/author/37086441566; https://ieeexplore.ieee.org/author/37088762882; https://ieeexplore.ieee.org/author/37090017780; https://ieeexplore.ieee.org/author/37087158549
11409193,,Session 3 Overview: Wearable and Wireless Biomedical Systems,https://ieeexplore.ieee.org/document/11409193/,10.1109/ISSCC49663.2026.11409193,62,63,,
11409179,3.1,3.1 A Multimodal Biosensing System-on-Chip with Integrated Wireless Transceiver and Power Management for Stress Monitoring,https://ieeexplore.ieee.org/document/11409179/,10.1109/ISSCC49663.2026.11409179,64,66,Min-Hua Chang; Lin Chou; Yen-Jen Liu; Chen-Hsing Hsu; Ying-Yu Yang; Bo-Cheng Juan; Guan-Yu Lin; Yi-Jie Lin; Yao-Wei Huang; Nitish Kumar; Shu-Ping Lin; Yu-Te Liao,https://ieeexplore.ieee.org/author/37090032350; https://ieeexplore.ieee.org/author/37087882701; https://ieeexplore.ieee.org/author/37834558200; https://ieeexplore.ieee.org/author/625217702443778; https://ieeexplore.ieee.org/author/180075437369922; https://ieeexplore.ieee.org/author/940760008018838; https://ieeexplore.ieee.org/author/37078182700; https://ieeexplore.ieee.org/author/37090032679; https://ieeexplore.ieee.org/author/37089725211; https://ieeexplore.ieee.org/author/37087057556; https://ieeexplore.ieee.org/author/37088649449; https://ieeexplore.ieee.org/author/37090032859
11409080,3.2,3.2 A Near-Field RF Reflection Transceiver ASIC for Continuous Unobtrusive Blood Pressure Monitoring,https://ieeexplore.ieee.org/document/11409080/,10.1109/ISSCC49663.2026.11409080,66,68,Yiming Han; Neelotpala Kumar; Linran Zhao; Jide Yinka Adebiyi; Linrui Jiang; Hao Lu; Gina Perkins; Hirofumi Tanaka; Deji Akinwande; Yaoyao Jia,https://ieeexplore.ieee.org/author/37090033116; https://ieeexplore.ieee.org/author/482703120665406; https://ieeexplore.ieee.org/author/37089186022; https://ieeexplore.ieee.org/author/491648972005709; https://ieeexplore.ieee.org/author/37088965890; https://ieeexplore.ieee.org/author/946128379850142; https://ieeexplore.ieee.org/author/37089730423; https://ieeexplore.ieee.org/author/37089650962; https://ieeexplore.ieee.org/author/37297073800; https://ieeexplore.ieee.org/author/37085734468
11409217,,A Battery-Powered Hybrid Resonant Pulse-Train Generator with Adaptive Frequency Tracking and Residual Energy Recycling for Ultrasonic Implants,https://ieeexplore.ieee.org/document/11409217/,10.1109/ISSCC49663.2026.11409217,1,3,Xiayang Li; Wenyu Peng; Limitha Kumar; Xiaoxi Zhao; Cheng Huang; Sijun Du,https://ieeexplore.ieee.org/author/482432875022792; https://ieeexplore.ieee.org/author/37089886420; https://ieeexplore.ieee.org/author/249132870226688; https://ieeexplore.ieee.org/author/37086949524; https://ieeexplore.ieee.org/author/868723670870257; https://ieeexplore.ieee.org/author/37089613870
11409335,3.4,3.4 an Ultrasound-Powering TX with Standing-Wave Peak Tracking Employing Adiabatic Power Sensing Achieving 82% Power-Tracking Accuracy and <90ms Settling Time for Brain Implants,https://ieeexplore.ieee.org/document/11409335/,10.1109/ISSCC49663.2026.11409335,70,72,Marios Gourdouparis; Chengyao Shi; Jiang Liu; Yuming He; Stefano Stanzione; Wouter Serdijn; Yao-Hong Liu,https://ieeexplore.ieee.org/author/37088525796; https://ieeexplore.ieee.org/author/37089186527; https://ieeexplore.ieee.org/author/37089923352; https://ieeexplore.ieee.org/author/37085896774; https://ieeexplore.ieee.org/author/471675493410791; https://ieeexplore.ieee.org/author/711927948513894; https://ieeexplore.ieee.org/author/37279418700
11409287,,A Simultaneous Wireless Power and Full-Duplex Data Transfer System Over a Single Inductive Link Achieving 17/3.4Mb/s and 61.1% Efficiency for Miniature Biomedical Implants,https://ieeexplore.ieee.org/document/11409287/,10.1109/ISSCC49663.2026.11409287,72,74,Tianqi Lu; Sijun Du,https://ieeexplore.ieee.org/author/37089635861; https://ieeexplore.ieee.org/author/37089613870
11409293,,Session 4 Overview: Analog Techniques & Amplifiers,https://ieeexplore.ieee.org/document/11409293/,10.1109/ISSCC49663.2026.11409293,74,75,,
11409189,4.1,"4.1 A 0.64mA, -108.2dB THD+N Class-D Amplifier with Neural-Assisted Pre-Reconfiguration for Smart Power Optimization",https://ieeexplore.ieee.org/document/11409189/,10.1109/ISSCC49663.2026.11409189,76,78,Kaiwen Zhou; Yuxiang Tang; Zhongqiu Shen; Xuecheng Yang; Tianxiang Qu; Yiming Wang; Shen Ye; Zhiliang Hong; Jiawei Xu,https://ieeexplore.ieee.org/author/37087121792; https://ieeexplore.ieee.org/author/37089916240; https://ieeexplore.ieee.org/author/308139683756560; https://ieeexplore.ieee.org/author/37088537609; https://ieeexplore.ieee.org/author/37089336434; https://ieeexplore.ieee.org/author/415533860700811; https://ieeexplore.ieee.org/author/824604361453319; https://ieeexplore.ieee.org/author/37276342300; https://ieeexplore.ieee.org/author/37089430370
11409038,,"A -102.2dB THD+N, 92% Efficiency, 1.08mW Idle Power Digital-Input Class-D Amplifier with Power-Adaptive Techniques and Dual-Edge Pulse-Width Adjustment Modulator",https://ieeexplore.ieee.org/document/11409038/,10.1109/ISSCC49663.2026.11409038,78,80,Miao Zhang; Huajun Zhang; Domenico Maria Lombardo; Qinwen Fan,https://ieeexplore.ieee.org/author/843073798633533; https://ieeexplore.ieee.org/author/37088369003; https://ieeexplore.ieee.org/author/758344527036883; https://ieeexplore.ieee.org/author/37606236700
11409310,,"A 0.6V 9.4µW 1,892µm2 Current-Pulse-Injection Crystal Oscillator Featuring Capacitively Biased Amplifier with 242.2dBc/Hz PN FoM @1KHz Offset",https://ieeexplore.ieee.org/document/11409310/,10.1109/ISSCC49663.2026.11409310,1,3,Haihua Li; Dan Shi; Qi Zhou; Rui Martins; Pui-In Mak; Ka-Meng Lei,https://ieeexplore.ieee.org/author/37089771851; https://ieeexplore.ieee.org/author/37089989116; https://ieeexplore.ieee.org/author/37086692248; https://ieeexplore.ieee.org/author/37087263792; https://ieeexplore.ieee.org/author/37088485344; https://ieeexplore.ieee.org/author/37078239100
11409089,4.4,4.4 A 2.1-to-3.7ppm/°C Bandgap Voltage Reference with a Current-Domain TC Compensation and ±0.06% Inaccuracy from −40°C to 125°C in 130nm CMOS,https://ieeexplore.ieee.org/document/11409089/,10.1109/ISSCC49663.2026.11409089,82,84,Zhong Tang; Sining Pan; Xiaopeng Yu; Nick Nianxiong Tan; Zhangming Zhu,https://ieeexplore.ieee.org/author/984240583194825; https://ieeexplore.ieee.org/author/37088304844; https://ieeexplore.ieee.org/author/37089396426; https://ieeexplore.ieee.org/author/344569123011803; https://ieeexplore.ieee.org/author/37407461600
11409143,,A 1ppm/°C and ±0.066% 3σ Accuracy Bandgap Reference with Temperature-Adaptive PTAT Scaling,https://ieeexplore.ieee.org/document/11409143/,10.1109/ISSCC49663.2026.11409143,84,86,Jiaqing Rui; Liangjian Lyu; Yuting Wan; Kexin Shan; Wenxian Gu; C.-J. Richard Shi; Xing Wu,https://ieeexplore.ieee.org/author/639837397271844; https://ieeexplore.ieee.org/author/37086344643; https://ieeexplore.ieee.org/author/37086806868; https://ieeexplore.ieee.org/author/139560228262355; https://ieeexplore.ieee.org/author/37088664702; https://ieeexplore.ieee.org/author/412672173236630; https://ieeexplore.ieee.org/author/37085466018
11409327,,An Integrated Voltage and Current Reference Together Achieving 5.7 and 9.1ppm/°C from −40 to 125°C,https://ieeexplore.ieee.org/document/11409327/,10.1109/ISSCC49663.2026.11409327,86,88,Lele Fang; Yan Zhu; Rui P. Martins; Chi-Hang Chan,https://ieeexplore.ieee.org/author/37089697759; https://ieeexplore.ieee.org/author/106885193515263; https://ieeexplore.ieee.org/author/37086499417; https://ieeexplore.ieee.org/author/37406799000
11409137,,Session 5 Overview: Sub-THz and mm-Wave Phased Arrays and Beamformers,https://ieeexplore.ieee.org/document/11409137/,10.1109/ISSCC49663.2026.11409137,88,89,,
11409290,5.1,5.1 A Formation Flight Phased-Array Transceiver for Spatial Power Combining and Distributing Architectures in Direct-to-Device-Communication Satellite Constellations,https://ieeexplore.ieee.org/document/11409290/,10.1109/ISSCC49663.2026.11409290,90,92,Keito Yuasa; Yuya Takahashi; Shunya Watanabe; Sena Kato; So Ema; Genma Hattori; Atsushiro Naka; Sumio Morioka; Takahiro Inagawa; Kentaro Murata; Naoki Honma; Jill Mayeda; Atsushi Shirane,https://ieeexplore.ieee.org/author/37089572842; https://ieeexplore.ieee.org/author/37089851509; https://ieeexplore.ieee.org/author/37089537401; https://ieeexplore.ieee.org/author/37089336268; https://ieeexplore.ieee.org/author/856442058450849; https://ieeexplore.ieee.org/author/719093254937216; https://ieeexplore.ieee.org/author/888339549589354; https://ieeexplore.ieee.org/author/967027672704550; https://ieeexplore.ieee.org/author/522028643875311; https://ieeexplore.ieee.org/author/37085383726; https://ieeexplore.ieee.org/author/37277559500; https://ieeexplore.ieee.org/author/107806977226103; https://ieeexplore.ieee.org/author/38234957500
11409268,5.2,5.2 A 28GHz Frequency-Diverse Sub-Array TX with Secret Phase Keys and Antenna Subset Modulation for Eavesdropping-Resilient Wireless Communication,https://ieeexplore.ieee.org/document/11409268/,10.1109/ISSCC49663.2026.11409268,92,94,Qiang Zhou; Yumin Su; Hao Guo; Yaolong Hu; Kaiyuan Yang; Taiyun Chi,https://ieeexplore.ieee.org/author/37088799174; https://ieeexplore.ieee.org/author/37089927028; https://ieeexplore.ieee.org/author/37089834202; https://ieeexplore.ieee.org/author/37088867766; https://ieeexplore.ieee.org/author/37085386877; https://ieeexplore.ieee.org/author/37087658213
11409017,5.3,"5.3 SPARTA: A Scalable, Programmable and Active mm-Wave Dual-Surface Reflect/Transmit Array with Integrated Gain and Phase Control Allowing Bidirectional Signal Routing Capability for Robust and Reconfigurable mm-Wave Networks at 60GHz",https://ieeexplore.ieee.org/document/11409017/,10.1109/ISSCC49663.2026.11409017,94,96,Muhamed Fouad Allam; Wenkai Fang; Zijian Shao; Hooman Saeidi; Alexander Stepko; Kaushik Sengupta,https://ieeexplore.ieee.org/author/106688453246167; https://ieeexplore.ieee.org/author/37089806253; https://ieeexplore.ieee.org/author/37086583428; https://ieeexplore.ieee.org/author/37086928595; https://ieeexplore.ieee.org/author/350401677605151; https://ieeexplore.ieee.org/author/37545750600
11408978,5.4,5.4 A 140GHz Full-Duplex CMOS Transceiver with Metasurface-Integrated Self-Interference-Cancelling Antenna Supporting 16Gb/s 16-QAM Dual-Mode Bidirectional Communication,https://ieeexplore.ieee.org/document/11408978/,10.1109/ISSCC49663.2026.11408978,96,98,Jiawei Yang; Yizhu Shen; Shizhe Xu; Zhongyuan Zhang; Zhen Lin; Yifan Ding; Yun Qian; Jiapeng Wan; Yuancheng Cai; Min Zhu; Sanming Hu,https://ieeexplore.ieee.org/author/37086383905; https://ieeexplore.ieee.org/author/37957843400; https://ieeexplore.ieee.org/author/37090061166; https://ieeexplore.ieee.org/author/329875125599638; https://ieeexplore.ieee.org/author/275399997630788; https://ieeexplore.ieee.org/author/37089817965; https://ieeexplore.ieee.org/author/37089865821; https://ieeexplore.ieee.org/author/913989756478765; https://ieeexplore.ieee.org/author/37088772903; https://ieeexplore.ieee.org/author/37085452730; https://ieeexplore.ieee.org/author/37088158107
11408971,,Session 6 Overview: Exploratory Receiver Architectures from GHz to THz,https://ieeexplore.ieee.org/document/11408971/,10.1109/ISSCC49663.2026.11408971,98,99,,
